"asn","name","source"
79,"Los Alamos National Laboratory","PeeringDB"
80,"GE-CRD","PeeringDB"
81,"MCNC","PeeringDB"
82,"Attachmate Corp","DB-IP"
84,"Navy Network Information Center (NNIC)","DB-IP"
85,"The Aerospace Corporation","DB-IP"
87,"Indiana University","PeeringDB"
88,"Princeton University","PeeringDB"
89,"Navy Network Information Center (NNIC)","PeeringDB"
90,"SUN","PeeringDB"
91,"Rensselaer Polytechnic Institute","PeeringDB"
92,"Clarkson University","PeeringDB"
93,"NTT America","PeeringDB"
95,"DNIC-AS-00095","PeeringDB"
97,"NTT America","DB-IP"
98,"The Rockefeller University","DB-IP"
100,"FMC Central Engineering Laboratories","PeeringDB"
101,"Pacific Northwest Gigapop","PeeringDB"
102,"U.S. National Science Foundation","DB-IP"
103,"Northwestern University","PeeringDB"
104,"University of Colorado at Boulder","PeeringDB"
106,"General Dynamics Mission Systems","DB-IP"
109,"Cisco Systems","PeeringDB"
111,"Boston University","PeeringDB"
112,"DNS-OARC","PeeringDB"
116,"Ericsson","DB-IP"
121,"DoD Network Information Center","DB-IP"
122,"UPMC","PeeringDB"
123,"Air Force Systems Networking","PeeringDB"
125,"Honeywell International","PeeringDB"
126,"DoD Network Information Center","PeeringDB"
127,"Jet Propulsion Laboratory","DB-IP"
128,"Advanced Decision Systems","PeeringDB"
129,"DoD Network Information Center","DB-IP"
131,"University of California, Santa Barbara","DB-IP"
134,"Fleet Analysis Center","PeeringDB"
137,"GARR","PeeringDB"
138,"DoD Network Information Center","PeeringDB"
147,"DoD Network Information Center","PeeringDB"
149,"DoD Network Information Center","DB-IP"
151,"HP","PeeringDB"
153,"CTNOSC-ASN","PeeringDB"
156,"NORTHEASTERN-GW-AS","PeeringDB"
157,"Silicon Graphics International Corp","DB-IP"
158,"Ericsson","DB-IP"
159,"Ohio State University","DB-IP"
160,"University of Chicago","PeeringDB"
161,"Texas Instruments Incorporated","DB-IP"
166,"Institute for Defense Analyses","DB-IP"
167,"Wesleyan University","DB-IP"
168,"University of Massachusetts","DB-IP"
170,"DoD Network Information Center","DB-IP"
173,"NTT Network Innovation Laboratories","PeeringDB"
174,"Cogent Communications","PeeringDB"
175,"Air Force Systems Networking","PeeringDB"
177,"University of Michigan","DB-IP"
186,"The Catholic University of America","DB-IP"
187,"DNScast","DB-IP"
188,"SAIC","PeeringDB"
190,"Navy Network Information Center (NNIC)","DB-IP"
194,"University Corporation for Atmospheric Research","DB-IP"
195,"San Diego Supercomputer Center","DB-IP"
196,"The Boeing Company","DB-IP"
199,"CENTURYLINK-LEGACY-LVLT","PeeringDB"
200,"Lumen","PeeringDB"
202,"Level 3 Communications","DB-IP"
203,"Level 3 Communications","DB-IP"
204,"PSC RII Network","ARIN"
205,"Montclair State University","DB-IP"
206,"DXC US Latin America Corporation","DB-IP"
209,"Lumen","PeeringDB"
210,"Utah Education Network","PeeringDB"
211,"Rome Air Development Center","PeeringDB"
213,"Headquarters, USAISC","DB-IP"
217,"UMN System Network","PeeringDB"
221,"WRALC HOSTNET","PeeringDB"
223,"Parsons Corporation","DB-IP"
224,"Uninett","PeeringDB"
225,"VIRGINIA-AS","PeeringDB"
226,"Los Nettos","PeeringDB"
228,"DoD Network Information Center","DB-IP"
229,"Merit Network","DB-IP"
231,"Michigan State University","DB-IP"
234,"NETHER-RESEARCH","PeeringDB"
237,"Merit Network","PeeringDB"
239,"University of Toronto","DB-IP"
243,"L3Harris Technologies","DB-IP"
244,"DoD Network Information Center","PeeringDB"
247,"ROMENET-AS","PeeringDB"
248,"IDDQD-AS","RIPE"
249,"PACKETSTAR","PeeringDB"
250,"AS250.net","PeeringDB"
251,"AS251","RIPE"
252,"Headquarters, USAISC","PeeringDB"
254,"Attachmate Corp","DB-IP"
257,"Navy Network Information Center (NNIC)","DB-IP"
258,"Headquarters, USAISC","DB-IP"
260,"GTT Communications","PeeringDB"
261,"Renater","RIPE"
262,"VERIO","PeeringDB"
264,"SRI International","DB-IP"
267,"NETHER-NET","PeeringDB"
268,"Uniformed Services University of the Health Sciences","DB-IP"
270,"National Aeronautics and Space Administration","DB-IP"
271,"BCNET","PeeringDB"
273,"DoD Network Information Center","DB-IP"
275,"NTT America","DB-IP"
276,"University of Texas System","DB-IP"
278,"Universidad Nacional Autonoma de Mexico","PeeringDB"
283,"MPower Labs","DB-IP"
286,"GTT (former KPN International / KPN Eurorings)","PeeringDB"
288,"ESA Network Information Centre (ESANIC)","PeeringDB"
289,"Headquarters, USAISC","PeeringDB"
290,"Interop Show Network","PeeringDB"
291,"Energy Sciences Network","ARIN"
292,"Energy Sciences Network","ARIN"
293,"Energy Sciences Network (ESnet)","PeeringDB"
294,"Renater","RIPE"
297,"NASA / CSO","PeeringDB"
299,"UCI","PeeringDB"
300,"DoD Network Information Center","DB-IP"
302,"Baylor College of Medicine CHAT","PeeringDB"
303,"DoD Network Information Center","PeeringDB"
305,"DNIC-AS-00305","PeeringDB"
306,"DoD Network Information Center","DB-IP"
307,"DoD Network Information Center","DB-IP"
316,"DoD Network Information Center","DB-IP"
317,"DoD Network Information Center","DB-IP"
319,"DoD Network Information Center","DB-IP"
320,"DoD Network Information Center","DB-IP"
321,"DoD Network Information Center","DB-IP"
322,"DoD Network Information Center","DB-IP"
323,"DoD Network Information Center","DB-IP"
324,"DoD Network Information Center","DB-IP"
325,"DoD Network Information Center","DB-IP"
326,"DoD Network Information Center","DB-IP"
327,"DoD Network Information Center","DB-IP"
328,"DoD Network Information Center","DB-IP"
329,"DoD Network Information Center","DB-IP"
331,"DoD Network Information Center","DB-IP"
334,"DoD Network Information Center","DB-IP"
335,"DoD Network Information Center","DB-IP"
336,"DoD Network Information Center","DB-IP"
337,"DoD Network Information Center","DB-IP"
338,"DoD Network Information Center","DB-IP"
339,"DoD Network Information Center","DB-IP"
340,"DoD Network Information Center","DB-IP"
341,"DoD Network Information Center","DB-IP"
342,"DoD Network Information Center","DB-IP"
343,"DoD Network Information Center","DB-IP"
344,"DoD Network Information Center","DB-IP"
345,"DoD Network Information Center","DB-IP"
346,"DoD Network Information Center","DB-IP"
347,"DoD Network Information Center","DB-IP"
348,"DoD Network Information Center","DB-IP"
349,"DoD Network Information Center","DB-IP"
350,"DoD Network Information Center","DB-IP"
351,"DoD Network Information Center","DB-IP"
352,"DoD Network Information Center","DB-IP"
353,"DoD Network Information Center","DB-IP"
355,"DoD Network Information Center","DB-IP"
356,"DoD Network Information Center","DB-IP"
357,"DoD Network Information Center","DB-IP"
358,"DoD Network Information Center","DB-IP"
360,"DoD Network Information Center","PeeringDB"
361,"DoD Network Information Center","DB-IP"
362,"DoD Network Information Center","DB-IP"
364,"DoD Network Information Center","DB-IP"
365,"DoD Network Information Center","DB-IP"
366,"DoD Network Information Center","DB-IP"
367,"DoD Network Information Center","DB-IP"
368,"DoD Network Information Center","DB-IP"
369,"DoD Network Information Center","DB-IP"
370,"DoD Network Information Center","DB-IP"
371,"DoD Network Information Center","DB-IP"
372,"National Aeronautics and Space Administration","DB-IP"
375,"Tietoevry Oyj","RIPE"
376,"RISQ Network","PeeringDB"
377,"Sandia National Laboratories","DB-IP"
378,"Israel InterUniversity Computation Center","PeeringDB"
391,"Air Force Systems Networking","DB-IP"
398,"Air Force Systems Networking","DB-IP"
399,"Air Force Systems Networking","DB-IP"
400,"Air Force Systems Networking","DB-IP"
405,"Air Force Systems Networking","DB-IP"
406,"Air Force Systems Networking","DB-IP"
409,"Air Force Systems Networking","DB-IP"
427,"Air Force Systems Networking","DB-IP"
433,"754th Electronic Systems Group","PeeringDB"
451,"Air Force Systems Networking","DB-IP"
452,"Air Force Systems Networking","DB-IP"
461,"Air Force Systems Networking","DB-IP"
463,"Air Force Systems Networking","DB-IP"
467,"Air Force Systems Networking","DB-IP"
468,"Air Force Systems Networking","DB-IP"
485,"Air Force Systems Networking","DB-IP"
500,"Air Force Systems Networking","DB-IP"
510,"Voya Investment Management","DB-IP"
511,"Prisma Health","DB-IP"
513,"CERN","PeeringDB"
514,"DoD Network Information Center","DB-IP"
517,"GTT Communications","RIPE"
518,"DoD Network Information Center","DB-IP"
520,"COINSDISNET3","PeeringDB"
528,"CDOIM Augsburg","RIPE"
529,"CDOIM Burtonwood Information Center","RIPE"
530,"Headquarters, USAISC","PeeringDB"
542,"ARNET","PeeringDB"
543,"HP Polycom","PeeringDB"
544,"Telia International Network","PeeringDB"
545,"NRI","PeeringDB"
549,"GTAnet Networking","PeeringDB"
553,"BelWü","PeeringDB"
557,"University of Maine System","PeeringDB"
558,"Net Data Centers","PeeringDB"
559,"SWITCH","PeeringDB"
565,"VTT Technical Research Centre of Finland","RIPE"
566,"Shared Services Canada","DB-IP"
567,"Los Nettos","DB-IP"
571,"DoD Network Information Center","DB-IP"
572,"Greater Baltimore Medical Center","DB-IP"
574,"Pittsburgh GigaPoP Route Server AS","ARIN"
577,"Bell Canada Backbone","PeeringDB"
589,"University of North Texas","DB-IP"
590,"EASInet Operations Center","RIPE"
593,"Easinet Air Base","RIPE"
596,"Level 3 Communications","DB-IP"
600,"OARnet","PeeringDB"
603,"Equinix","DB-IP"
606,"schat.net","DB-IP"
609,"Ernst & Young LLP","DB-IP"
611,"NB-PEI Educational Computer Network","DB-IP"
615,"Headquarters, USAISC","DB-IP"
616,"DoD Network Information Center","PeeringDB"
619,"DoD Network Information Center","DB-IP"
627,"DoD Network Information Center","DB-IP"
634,"DoD Network Information Center","DB-IP"
636,"DoD Network Information Center","DB-IP"
637,"DoD Network Information Center","DB-IP"
647,"DoD Network Information Center","DB-IP"
650,"DoD Network Information Center","PeeringDB"
654,"DoD Network Information Center","PeeringDB"
656,"DoD Network Information Center","DB-IP"
664,"DoD Network Information Center","DB-IP"
665,"DoD Network Information Center","DB-IP"
666,"Headquarters, USAISC","PeeringDB"
668,"DREN","PeeringDB"
669,"Renater","RIPE"
670,"Headquarters, USAISC","DB-IP"
671,"Headquarters, USAISC","DB-IP"
672,"Headquarters, USAISC","DB-IP"
673,"Headquarters, USAISC","DB-IP"
675,"Minnesota State Colleges and Universities","DB-IP"
676,"United Nations Development Programme","DB-IP"
679,"Technische Universitat Wien","RIPE"
680,"DFN Deutsches Forschungsnetz e.V","PeeringDB"
681,"University of Waikato","APNIC"
683,"Argonne National Laboratory","DB-IP"
687,"DoD Network Information Center","DB-IP"
692,"CuroTec ApS","RIPE"
693,"University of Notre Dame","DB-IP"
695,"SWITCH","RIPE"
696,"SWITCH","RIPE"
697,"Gesellschaft fuer Mathematik und Datenverarbeitung","RIPE"
698,"University of Illinois","DB-IP"
701,"Verizon","PeeringDB"
702,"Verizon - EMEA","PeeringDB"
703,"Verizon - Asia-Pac","PeeringDB"
706,"Advanced Workstations Division, IBM Corporation","DB-IP"
709,"Royal Air Force Base","RIPE"
710,"Royal Air Base","RIPE"
712,"Royal Air Base","RIPE"
714,"Apple","PeeringDB"
715,"WoodyNet","DB-IP"
719,"Elisa Finland","PeeringDB"
721,"DoD Network Information Center","DB-IP"
722,"DoD Network Information Center","DB-IP"
725,"DoD Network Information Center","PeeringDB"
744,"Air Force Systems Networking","DB-IP"
745,"Air Force Systems Networking","DB-IP"
747,"Headquarters, USAISC","DB-IP"
749,"DoD Network Information Center","PeeringDB"
760,"Vienna University Computer Center","RIPE"
761,"Seinajoen Tietoraitti Oy","RIPE"
763,"IBM","DB-IP"
764,"Prime Minister's Office","RIPE"
766,"RedIRIS/Red.es","PeeringDB"
768,"DNIC-AS-00768","PeeringDB"
769,"DoD Network Information Center","PeeringDB"
773,"Parsons Corporation","DB-IP"
774,"Renater","RIPE"
775,"Renater","RIPE"
776,"Renater","RIPE"
777,"UNSPECIFIED","PeeringDB"
778,"Renater","RIPE"
779,"Renater","RIPE"
780,"Renater","RIPE"
781,"Renater","RIPE"
782,"Renater","RIPE"
783,"Renater","RIPE"
784,"Henry M. Jackson Foundation for The Advancement of Military Medicine","DB-IP"
786,"Janet","PeeringDB"
789,"Renater","RIPE"
790,"Elisa Oyj","RIPE"
797,"AT&T Services","DB-IP"
800,"OneWeb","PeeringDB"
801,"Amazon Technologies","DB-IP"
802,"York University","DB-IP"
803,"Saskatchewan Telecommunications","PeeringDB"
805,"Globe Life","DB-IP"
806,"Shared Services Canada","DB-IP"
807,"Fork Systems","PeeringDB"
808,"GONET","PeeringDB"
812,"Rogers Cable","PeeringDB"
813,"Verizon Business","DB-IP"
818,"Department of Communications","PeeringDB"
819,"LARG*net","PeeringDB"
820,"Shared Services Canada","DB-IP"
822,"St. Joseph's Healthcare London & London Health Sciences Centre","ARIN"
823,"University of Western Ontario","DB-IP"
824,"GLAXOSMITHKLINE","PeeringDB"
833,"Spearware Networks","PeeringDB"
834,"IPXO","PeeringDB"
835,"GoCodeIT","PeeringDB"
836,"White Plains Hospital","DB-IP"
837,"Shared Services Canada","DB-IP"
843,"Volterra Edge Services","PeeringDB"
845,"SBA Connect","DB-IP"
846,"SOLV Energy","DB-IP"
847,"Ninja-IX Network 19","PeeringDB"
848,"Ninja-IX Network 20","PeeringDB"
849,"Ninja-IX Network 18","PeeringDB"
850,"Ninja-IX Network 15","PeeringDB"
852,"TELUS Communications","PeeringDB"
853,"Ninja-IX Bay Area","PeeringDB"
854,"Ninja-IX Network 13","PeeringDB"
855,"Bell Aliant","PeeringDB"
857,"GONET","PeeringDB"
858,"GONET","DB-IP"
859,"GONET","DB-IP"
860,"GONET","DB-IP"
861,"GONET","DB-IP"
862,"GONET","DB-IP"
863,"GONET","DB-IP"
864,"GONET","DB-IP"
865,"GONET","DB-IP"
866,"GONET","DB-IP"
867,"GONET","DB-IP"
868,"GONET","DB-IP"
869,"GONET","DB-IP"
870,"GONET","DB-IP"
871,"GONET","DB-IP"
872,"GONET","DB-IP"
873,"GONET","DB-IP"
874,"GONET","DB-IP"
875,"GONET","DB-IP"
876,"GONET","DB-IP"
877,"GONET","DB-IP"
878,"GONET","DB-IP"
879,"GONET","DB-IP"
880,"GONET","DB-IP"
881,"GONET","DB-IP"
882,"GONET","DB-IP"
883,"GONET","DB-IP"
884,"GONET","DB-IP"
885,"GONET","DB-IP"
886,"SBH-IX Services","PeeringDB"
887,"SBH-IX Route Servers","PeeringDB"
888,"AMECO-PRIMARY","PeeringDB"
889,"Deerfield Valley Communications Union District","PeeringDB"
892,"EBSI-ISP-FO-01","PeeringDB"
893,"Ninja-IX Foundation","PeeringDB"
894,"Ninja-Connect","PeeringDB"
895,"PO Box 78266","ARIN"
896,"Fortlab","ARIN"
897,"TRS-ASN-01","PeeringDB"
900,"WAA","DB-IP"
901,"FSF Roumulus NY Data Center","ARIN"
902,"SPACE COAST CREDIT UNION","DB-IP"
903,"UNIFIED-COMMUNICATIONS-TECHNOLOGIES","PeeringDB"
906,"DMIT Cloud Infrastructure","PeeringDB"
907,"MPSP-EVENT","PeeringDB"
910,"RTA","DB-IP"
912,"Hut 8 Mining Corp","PeeringDB"
913,"Hut 8 High Performance Computing","ARIN"
914,"MXAK","DB-IP"
915,"SILIGOM USA","DB-IP"
916,"Stalwart Wireless","DB-IP"
917,"Misaka.io","PeeringDB"
918,"IP Excess","PeeringDB"
919,"Howard University","PeeringDB"
922,"GoCodeIT Corp","PeeringDB"
923,"Hammy Web Services","PeeringDB"
924,"Cloudie Networks","PeeringDB"
925,"SiFibe","DB-IP"
926,"AS926","RIPE"
927,"Quintillion Subsea Operations","DB-IP"
928,"GVV.ME","PeeringDB"
929,"KIRINO","DB-IP"
930,"CITY OF CELINA","PeeringDB"
931,"Krixe","PeeringDB"
932,"XNNET","PeeringDB"
933,"AIT","DB-IP"
934,"Big Sky Internet","PeeringDB"
935,"4732 193RD PL SE","ARIN"
936,"Weichert","DB-IP"
938,"Fergus Euan McKay","PeeringDB"
939,"NovoServe","PeeringDB"
945,"SAMU","PeeringDB"
948,"JCS Networks","PeeringDB"
949,"xTom Los Angeles","PeeringDB"
950,"Milehighwalrus Network","PeeringDB"
951,"ioHarbor","PeeringDB"
952,"Hop","PeeringDB"
954,"TMTG","PeeringDB"
955,"LSHIY","PeeringDB"
959,"Ohanacast","PeeringDB"
961,"Achieve Wireless","DB-IP"
963,"N963","PeeringDB"
964,"IonSwitch NW","PeeringDB"
965,"Webhosting Holdings","DB-IP"
967,"VMISS","DB-IP"
968,"Packetframe","PeeringDB"
969,"Misaka Network, Inc. (Office)","PeeringDB"
970,"Keaton AG Lair Ehre Ein","PeeringDB"
971,"PureVoltage","PeeringDB"
972,"Cofractal (3)","PeeringDB"
973,"Revive IT Solutions","DB-IP"
975,"Michigan Tech Group","PeeringDB"
976,"CoreNET","PeeringDB"
978,"Shamrock Trading Corporation","PeeringDB"
979,"NETLAB-SDN","PeeringDB"
982,"Packetframe","DB-IP"
983,"Akari Networks","PeeringDB"
984,"OWS","PeeringDB"
985,"SMART-IX Services","PeeringDB"
986,"Kingsburg Media Foundation","PeeringDB"
987,"Hiven Labs","PeeringDB"
988,"Computer Technologies","PeeringDB"
989,"ASPnix","DB-IP"
991,"BLACK-IP","ARIN"
992,"Modest Labs","PeeringDB"
993,"SUN FIBER","DB-IP"
994,"Viirtue","DB-IP"
996,"JY Mobile Communications","ARIN"
997,"KLAYER","PeeringDB"
998,"HypeStatus","PeeringDB"
999,"CORIX NETWORKS","PeeringDB"
1000,"Internet Tool & Die Company","PeeringDB"
1001,"Academy City Internet","PeeringDB"
1002,"Bytefilter","PeeringDB"
1003,"andrewnet","PeeringDB"
1004,"Ambyre Global","PeeringDB"
1007,"SMART-IX Route Servers","PeeringDB"
1008,"GANJINGWORLD CORPORATION","DB-IP"
1009,"GOV-ISP-PAFB","PeeringDB"
1010,"Walnut Hill Communications","DB-IP"
1011,"Accutar Canada","PeeringDB"
1012,"Moe BGP","DB-IP"
1015,"100 Campus Town Circle","ARIN"
1017,"Mystic Unlimited","PeeringDB"
1018,"Coneris d.o.o","RIPE"
1019,"Sotera Health Services","ARIN"
1020,"Midwest Cable","PeeringDB"
1021,"CV Tech","DB-IP"
1023,"COMPUTER TEAM","DB-IP"
1024,"12393239 Canada","PeeringDB"
1025,"Valor Christian High School - Edge","PeeringDB"
1027,"TNT WiFi","ARIN"
1029,"Nato Internet Service (APAC)","PeeringDB"
1030,"Domain Privacy","PeeringDB"
1031,"PEER-1","PeeringDB"
1033,"HEWLETT PACKARD ENTERPRISE COMPANY","DB-IP"
1034,"HEWLETT PACKARD ENTERPRISE COMPANY","DB-IP"
1035,"Kimberly-Clark Corporation","DB-IP"
1037,"NeevAI Supercloud","ARIN"
1040,"Academy City Internet","PeeringDB"
1041,"Kimberly-Clark Corporation","DB-IP"
1043,"KSP Technology","DB-IP"
1044,"Blinn College","DB-IP"
1045,"ZS Associates","DB-IP"
1049,"ONE Armstrong Place","ARIN"
1050,"Onvox","PeeringDB"
1051,"Ridge Tower Network","PeeringDB"
1052,"Coeur d' Alene Tribe","DB-IP"
1053,"BearCom Operating","DB-IP"
1054,"VMISS","DB-IP"
1055,"City of Manteca","DB-IP"
1057,"Falcon Wireless","DB-IP"
1062,"Emmett Fiber","ARIN"
1064,"Rivulet Wireless","PeeringDB"
1065,"Tangerine Global","DB-IP"
1067,"Hamilton County, Ohio","DB-IP"
1069,"Data Canopy IRV01","ARIN"
1070,"Peel Regional Police","DB-IP"
1072,"Payward","DB-IP"
1073,"South Carolina Legislative Services Agency","DB-IP"
1074,"Production Networks","DB-IP"
1075,"WiseInfoTec","ARIN"
1076,"TNC Wireless","PeeringDB"
1077,"ActivePure Technologies","DB-IP"
1078,"Lightwave","DB-IP"
1080,"Water and Power Community Credit Union","DB-IP"
1082,"Zenith American Solutions","DB-IP"
1083,"AGK Consulting","DB-IP"
1084,"Intermountain Medical Imaging","ARIN"
1085,"Prairie Crocus Rural Internet","PeeringDB"
1086,"Get","DB-IP"
1087,"Bloomington Public School District","DB-IP"
1088,"FastBridge Fiber","ARIN"
1096,"Izuma Networks","DB-IP"
1097,"Core Transit","PeeringDB"
1098,"Snap One","DB-IP"
1099,"223 N. Crosby Street","ARIN"
1100,"Nuday Networks","PeeringDB"
1101,"Not SURF Net","PeeringDB"
1102,"SURF","RIPE"
1103,"SURF","PeeringDB"
1104,"Nikhef","PeeringDB"
1105,"SURF","RIPE"
1106,"SURF","RIPE"
1107,"SURF","RIPE"
1108,"SURF","RIPE"
1109,"Universitaet Salzburg","RIPE"
1110,"University of Innsbruck","RIPE"
1111,"Universitaet Klagenfurt","PeeringDB"
1112,"Montanuniversitaet Leoben","RIPE"
1113,"Technische Universitaet Graz","RIPE"
1114,"Universitaet Graz","RIPE"
1115,"Austrian Academy of Sciences","RIPE"
1116,"Universitaet f. Musik und darstellende Kunst Wien","RIPE"
1117,"Universitaet fur Bodenkultur, Wien","RIPE"
1118,"ASN-Graz","RIPE"
1119,"ACOnet Testing AS","RIPE"
1120,"Vienna Internet eXchange & ACOnet services","PeeringDB"
1121,"VIX Route Servers","PeeringDB"
1122,"ACONET-AS for TNC17","RIPE"
1123,"Technikum Vorarlberg","RIPE"
1124,"Universiteit van Amsterdam Amsterdam The Netherlands","PeeringDB"
1125,"SURF","RIPE"
1126,"VANCIS","PeeringDB"
1127,"SURF Network Maintainer","PeeringDB"
1128,"SURF","RIPE"
1129,"SURF","RIPE"
1130,"SURF","RIPE"
1131,"SURF","RIPE"
1132,"SURF","RIPE"
1133,"University Twente","PeeringDB"
1134,"KPN","RIPE"
1135,"Veronica Interactive Plaza","RIPE"
1136,"KPN NL","PeeringDB"
1137,"UNIP","RIPE"
1138,"SURF","RIPE"
1139,"SURF","RIPE"
1140,"SIDN - Stichting Internet Domeinregistratie Nederland","PeeringDB"
1141,"SURF","RIPE"
1142,"SURF","RIPE"
1143,"SURF","RIPE"
1144,"SURF","RIPE"
1145,"SURF","RIPE"
1146,"SURF","RIPE"
1147,"SURF","RIPE"
1148,"SURF","RIPE"
1149,"SURF","RIPE"
1150,"SURF","RIPE"
1151,"SURF","RIPE"
1152,"SURF","RIPE"
1153,"SURF","RIPE"
1154,"SURF","RIPE"
1155,"SURF","RIPE"
1156,"SURF","RIPE"
1157,"SURF","RIPE"
1158,"SURF","RIPE"
1159,"SURF","RIPE"
1160,"SURF","RIPE"
1161,"SURF","RIPE"
1162,"SURF","RIPE"
1163,"SURF","RIPE"
1164,"SURF","RIPE"
1165,"SURF","RIPE"
1166,"SURF","RIPE"
1167,"SURF","RIPE"
1168,"SURF","RIPE"
1169,"SURF","RIPE"
1170,"SURF","RIPE"
1171,"SURF","RIPE"
1172,"SURF","RIPE"
1173,"SURF","RIPE"
1174,"SURF","RIPE"
1175,"SURF","RIPE"
1176,"SURF","RIPE"
1177,"SURF","RIPE"
1178,"SURF","RIPE"
1179,"SURF","RIPE"
1180,"SURF","RIPE"
1181,"SURF","RIPE"
1182,"SURF","RIPE"
1183,"SURF","RIPE"
1184,"SURF","RIPE"
1185,"SURF","RIPE"
1186,"SURF","RIPE"
1187,"SURF","RIPE"
1188,"SURF","RIPE"
1189,"SURF","RIPE"
1190,"SURF","RIPE"
1191,"SURF","RIPE"
1192,"SURF","RIPE"
1193,"SURF","RIPE"
1194,"SURF","RIPE"
1195,"SURF","RIPE"
1196,"SURF","RIPE"
1197,"Network Ability","RIPE"
1198,"SURF","RIPE"
1199,"SURF","RIPE"
1200,"Amsterdam Internet Exchange BV","PeeringDB"
1201,"Old Dominion University","DB-IP"
1203,"Italtel Sit","RIPE"
1204,"SUNY","PeeringDB"
1205,"University Linz","RIPE"
1206,"PSC Campus","ARIN"
1207,"PSC Secondary AS","ARIN"
1208,"DoD Network Information Center","DB-IP"
1213,"HEAnet","PeeringDB"
1215,"Oracle Corporation","DB-IP"
1216,"Oracle Corporation","DB-IP"
1217,"Oracle Corporation","DB-IP"
1218,"Oracle Corporation","DB-IP"
1219,"Oracle Corporation","DB-IP"
1221,"Telstra Corporation","PeeringDB"
1222,"EL PASO COMMUNITY COLLEGE","DB-IP"
1223,"Advanced Information Technology Services","PeeringDB"
1224,"National Center for Supercomputing Applications","PeeringDB"
1225,"NTT America","DB-IP"
1226,"California Technology Agency","PeeringDB"
1228,"TENET (The UNINET Project)","AFRINIC"
1229,"TENET (The UNINET Project)","AFRINIC"
1230,"TENET (The UNINET Project)","AFRINIC"
1231,"ORG-UP1-AFRINIC","PeeringDB"
1232,"TENET (The UNINET Project)","AFRINIC"
1233,"National Space Development Agency","APNIC"
1234,"Fortum","RIPE"
1235,"Renater","RIPE"
1236,"General Dynamics Information Technology","DB-IP"
1237,"KREONET","PeeringDB"
1239,"Sprint","PeeringDB"
1241,"Forthnet","PeeringDB"
1246,"Zito Media","DB-IP"
1248,"HERE Global","PeeringDB"
1249,"University of Massachusetts - AMHERST","DB-IP"
1250,"National University of Singapore","APNIC"
1251,"ANSP","PeeringDB"
1252,"University of Nebraska Medical Center","DB-IP"
1253,"The National Board of Taxation","RIPE"
1255,"Smith College","DB-IP"
1257,"TELE2","PeeringDB"
1258,"XKL","PeeringDB"
1261,"National Instruments Corporation","PeeringDB"
